"№";"ИНН";"ОГРН";"Название";"Страна";"Регион";"Населенный Пункт";"Индекс";"Адрес";"Раздел";"Подраздел";"Рубрика";"Ключевое слово";"Телефоны";"Сотовый";"Метро (Остановка)";"Email";"Сайт";"Vk.com";"Twitter.com";"Facebook.com";"Instagram.com";"X";"Y";"Дополнительно";"Время Работы"
"223346760516";"";"";"Авторемонт";"Россия";"Алтайский край";"Алейск";"";"ул. Давыдова, 165, Алейск";"Автомобили";"Автосервис, услуги";"Шиномонтаж";"";"";"";"";"";"";"";"";"";"";"82.792534";"52.493893";"";""
"223346760516";"";"";"Авторемонт";"Россия";"Алтайский край";"Алейск";"";"ул. Давыдова, 165, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"";"";"";"";"";"";"";"";"82.792534";"52.493893";"";""
"61294756957";"";"";"Сто%";"Россия";"Алтайский край";"Алейск";"658131";"ул. Давыдова, 164, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"+7 (913) 277-72-43";"";"";"";"";"";"";"";"82.788433";"52.492191";"";"ежедневно, 9:00–19:00"
"61294756957";"";"";"Сто%";"Россия";"Алтайский край";"Алейск";"658131";"ул. Давыдова, 164, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"+7 (913) 277-72-43";"";"";"";"";"";"";"";"82.788433";"52.492191";"";"ежедневно, 9:00–19:00"
"53276614566";"";"";"Avg Автосервис";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 156Г, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"+7 (913) 094-48-72";"";"";"";"";"";"";"";"82.757754";"52.485554";"";"ежедневно, 9:00–18:00"
"53276614566";"";"";"Avg Автосервис";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 156Г, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"+7 (913) 094-48-72";"";"";"";"";"";"";"";"82.757754";"52.485554";"";"ежедневно, 9:00–18:00"
"192080204028";"";"";"Подкова";"Россия";"Алтайский край";"Алейск";"";"Барнаульская ул., 51, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"";"";"";"";"";"";"";"";"82.799635";"52.501692";"";"ежедневно, 8:00–20:00"
"192080204028";"";"";"Подкова";"Россия";"Алтайский край";"Алейск";"";"Барнаульская ул., 51, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"";"";"";"";"";"";"";"";"82.799635";"52.501692";"";"ежедневно, 8:00–20:00"
"21365483325";"";"";"Шиномонтаж";"Россия";"Алтайский край";"Алейск";"";"Парковый пер., 53, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"";"";"";"";"";"";"";"";"82.770811";"52.501578";"";"ежедневно, 9:00–20:00"
"21365483325";"";"";"Шиномонтаж";"Россия";"Алтайский край";"Алейск";"";"Парковый пер., 53, Алейск";"Автомобили";"Автосервис, услуги";"Шиномонтаж";"";"";"";"";"";"";"";"";"";"";"82.770811";"52.501578";"";"ежедневно, 9:00–20:00"
"21365483325";"";"";"Шиномонтаж";"Россия";"Алтайский край";"Алейск";"";"Парковый пер., 53, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"";"";"";"";"";"";"";"";"82.770811";"52.501578";"";"ежедневно, 9:00–20:00"
"1764320532";"";"";"ТехноИмидж";"Россия";"Алтайский край";"Алейск";"";"Советская ул., 6К, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"+7 (38553) 2-11-77";"+7 (983) 359-30-49";"";"";"";"https://vk.com/teximg";"";"";"";"82.790937";"52.505221";"";"пн-сб 9:00–18:00"
"1764320532";"";"";"ТехноИмидж";"Россия";"Алтайский край";"Алейск";"";"Советская ул., 6К, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"+7 (38553) 2-11-77";"+7 (983) 359-30-49";"";"";"";"https://vk.com/teximg";"";"";"";"82.790937";"52.505221";"";"пн-сб 9:00–18:00"
"214131003024";"";"";"Лада сервис";"Россия";"Алтайский край";"Алейск";"";"Прудская ул., 41, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"+7 (38553) 2-23-61";"";"";"";"";"";"";"";"";"82.761446";"52.484177";"";"пн-пт 8:30–17:30, перерыв 13:00–14:00"
"214131003024";"";"";"Лада сервис";"Россия";"Алтайский край";"Алейск";"";"Прудская ул., 41, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Автотехпомощь, эвакуация автомобилей";"";"+7 (38553) 2-23-61";"";"";"";"";"";"";"";"";"82.761446";"52.484177";"";"пн-пт 8:30–17:30, перерыв 13:00–14:00"
"214131003024";"";"";"Лада сервис";"Россия";"Алтайский край";"Алейск";"";"Прудская ул., 41, Алейск, Россия";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"+7 (38553) 2-23-61";"";"";"";"";"";"";"";"";"82.761446";"52.484177";"";"пн-пт 8:30–17:30, перерыв 13:00–14:00"
"214131003024";"";"";"Лада сервис";"Россия";"Алтайский край";"Алейск";"";"Прудская ул., 41, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"+7 (38553) 2-23-61";"";"";"";"";"";"";"";"";"82.761446";"52.484177";"";"пн-пт 8:30–17:30, перерыв 13:00–14:00"
"1491878717";"";"";"Авангард";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 156Г, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"+7 (38553) 2-23-03";"";"";"";"";"";"";"";"";"82.757751";"52.485601";"";"ежедневно, 9:00–18:00"
"1491878717";"";"";"Авангард";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 156Г, Алейск";"Автомобили";"Автосервис, услуги";"Шиномонтаж";"";"+7 (38553) 2-23-03";"";"";"";"";"";"";"";"";"82.757751";"52.485601";"";"ежедневно, 9:00–18:00"
"1491878717";"";"";"Авангард";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 156Г, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"+7 (38553) 2-23-03";"";"";"";"";"";"";"";"";"82.757751";"52.485601";"";"ежедневно, 9:00–18:00"
"80813450503";"";"";"Автосервис";"Россия";"Алтайский край";"Алейск";"";"Ульяновский пер., 1, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"";"";"";"";"";"";"";"";"82.770454";"52.485306";"";""
"80813450503";"";"";"Автосервис";"Россия";"Алтайский край";"Алейск";"";"Ульяновский пер., 1, Алейск";"Автомобили";"Автосервис, услуги";"Автосервис, автотехцентр";"";"";"";"";"";"";"";"";"";"";"82.770454";"52.485306";"";""
"36099810685";"";"";"Автоспас 112";"Россия";"Алтайский край";"Алейск";"";"Линейная ул., 76, Алейск";"Автомобили";"Автосервис, услуги";"Автотехпомощь, эвакуация автомобилей";"";"";"+7 (923) 168-92-22";"";"";"";"";"";"";"";"82.762626";"52.481255";"";"ежедневно, круглосуточно"
"160315032220";"";"";"Бийск-Лада";"Россия";"Алтайский край";"Алейск";"658130";"ул. Сердюка, 189А, Алейск";"Автомобили";"Автосервис, услуги";"Пункт техосмотра";"";"";"+7 (923) 779-77-78";"";"";"";"";"";"";"";"82.758517";"52.484906";"";"пн-пт 9:00–17:00, сб 9:00–14:00"
"85893585525";"";"";"Пункт техосмотра";"Россия";"Алтайский край";"Алейск";"658135";"Ульяновский пер., 69Б, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Пункт техосмотра";"";"+7 (38553) 4-30-16";"";"";"";"";"";"";"";"";"82.750914";"52.494647";"";"пн-пт 9:00–17:00, сб 9:00–14:00"
"85893585525";"";"";"Пункт техосмотра";"Россия";"Алтайский край";"Алейск";"658135";"Ульяновский пер., 69Б, Алейск, Россия";"Бизнес";"Страхование";"Страхование автомобилей";"";"+7 (38553) 4-30-16";"";"";"";"";"";"";"";"";"82.750914";"52.494647";"";"пн-пт 9:00–17:00, сб 9:00–14:00"
"1030504071";"";"";"Алейсктехосмотр";"Россия";"Алтайский край";"Алейск";"658133";"Советская ул., 6А, Алейск, Россия";"Автомобили";"Автосервис, услуги";"Пункт техосмотра";"";"+7 (38553) 2-12-33, +7 (38553) 2-29-21";"";"";"aleysk.auto@yandex.ru";"http://aleysk-auto.narod.ru/";"";"";"";"";"82.791543";"52.503966";"";"пн-сб 9:00–18:00"
"55278222655";"";"";"Шиномонтаж";"Россия";"Алтайский край";"Алейск";"";"Первомайская ул., 107, Алейск";"Автомобили";"Автосервис, услуги";"Шиномонтаж";"";"";"";"";"";"";"";"";"";"";"82.769935";"52.486312";"";""
"220121548471";"";"";"Шиномонтаж";"Россия";"Алтайский край";"Алейск";"";"ул. имени В. Олешко, 42А, Алейск";"Автомобили";"Автосервис, услуги";"Шиномонтаж";"";"";"";"";"";"";"";"";"";"";"82.771378";"52.501214";"";"ежедневно, 9:00–20:00"
"182301268727";"";"";"Шиномонтаж";"Россия";"Алтайский край";"Алейск";"";"Советская ул., 3Л, Алейск";"Автомобили";"Автосервис, услуги";"Шиномонтаж";"";"";"";"";"";"";"";"";"";"";"82.794644";"52.503201";"";""
"220302410458";"";"";"ОУ ДПО Алейская автомобильная школа Имени Н. М. Гаврилина ДОСААФ России";"Россия";"Алтайский край";"Алейск";"658136";"ул. Ширшова, 2Д, Алейск";"Автомобили";"Автошколы";"Автошкола";"";"+7 (38553) 2-24-95";"";"";"";"http://avtoshkola-aleysk.ru/";"";"";"";"";"82.755015";"52.50045";"";"пн-пт 8:00–17:00"
"91476238609";"";"";"Автомобильная парковка";"Россия";"Алтайский край";"Алейск";"658131";"Железнодорожная ул., 24, Алейск";"Автомобили";"АЗС и стоянки";"Автомобильная парковка";"";"";"";"";"";"";"";"";"";"";"82.788013";"52.494347";"";""
"241141959342";"";"";"Evo";"Россия";"Алтайский край";"Алейск";"";"ул. Сердюка, 166, Алейск";"Автомобили";"АЗС и стоянки";"АЗС";"";"";"";"";"";"http://evo-azs.ru/";"";"";"";"";"82.745944";"52.482827";"";""
"1864962710";"";"";"Роснефть";"Россия";"Алтайский край";"Алейск";"";"ул. Давыдова, 300, Алейск, Россия";"Автомобили";"АЗС и стоянки";"АЗС";"";"8 (800) 200-10-70, 8 (800) 500-25-45";"";"";"pr@rosneft.ru,  rn@tektorg.ru";"http://www.rosneft-azs.ru/";"https://vk.com/azk_rosneft";"http://www.twitter.com/RosneftRU";"http://www.facebook.com/RosneftRu";"";"82.76785";"52.480048";"";"ежедневно, круглосуточно"
"1166013015";"";"";"Октан";"Россия";"Алтайский край";"Алейск";"";"Барнаульская ул., 51, Алейск, Россия";"Автомобили";"АЗС и стоянки";"АЗС";"";"+7 (38553) 2-06-98";"";"";"t_chernyak@oktan.ru,  uyi@oktan.ru,  p.alena@dsmail.ru,  oktan-kart@bk.ru,  admin@oktan.ru";"http://www.oktan.ru/";"";"";"";"";"82.80061";"52.502052";"";"ежедневно, круглосуточно"
"1170724826";"";"";"Октан";"Россия";"Алтайский край";"Алейск";"";"ул. Сердюка, 181, Алейск";"Автомобили";"АЗС и стоянки";"АЗС";"";"";"";"";"t_chernyak@oktan.ru,  uyi@oktan.ru,  p.alena@dsmail.ru,  oktan-kart@bk.ru,  admin@oktan.ru";"http://www.oktan.ru/";"";"";"";"";"82.759344";"52.485237";"";"ежедневно, круглосуточно"
"1292765404";"";"";"ОГИБДД МО МВД России Алейский";"Россия";"Алтайский край";"Алейск";"658130";"Первомайская ул., 78, Алейск";"Автомобили";"ГИБДД, МРЭО";"Госавтоинспекция";"";"+7 (38553) 4-37-58, +7 (38553) 4-37-54, +7 (38553) 4-37-70, +7 (38553) 2-13-33, +7 (38553) 4-37-56";"";"";"support@gosuslugi.ru,  fcp-pbdd@fcp-pbdd.ru,  bdd@ceki.ru,  otn07@mvd.ru,  peregudov@mvd.ru";"https://гибдд.рф/";"";"";"";"";"82.780614";"52.493963";"";""
"1292765404";"";"";"ОГИБДД МО МВД России Алейский";"Россия";"Алтайский край";"Алейск";"658130";"Первомайская ул., 78, Алейск";"Государство";"Инспекции, комиссии, контрольные органы";"Инспекция";"";"+7 (38553) 4-37-58, +7 (38553) 4-37-54, +7 (38553) 4-37-70, +7 (38553) 2-13-33, +7 (38553) 4-37-56";"";"";"support@gosuslugi.ru,  fcp-pbdd@fcp-pbdd.ru,  bdd@ceki.ru,  otn07@mvd.ru,  peregudov@mvd.ru";"https://гибдд.рф/";"";"";"";"";"82.780614";"52.493963";"";""
"169000223087";"";"";"РЭО ГИБДД МО МВД России Алейский";"Россия";"Алтайский край";"Алейск";"658130";"Первомайская ул., 78, Алейск";"Автомобили";"ГИБДД, МРЭО";"МРЭО";"";"+7 (38553) 4-37-54, +7 (38553) 4-37-58";"";"";"support@gosuslugi.ru,  fcp-pbdd@fcp-pbdd.ru,  bdd@ceki.ru,  otn07@mvd.ru,  peregudov@mvd.ru";"https://гибдд.рф/";"";"";"";"";"82.780212";"52.49368";"";"вт 9:00–20:00, перерыв 14:00–15:00, ср 9:00–18:00, перерыв 13:00–14:00, чт 9:00–17:00, перерыв 13:00–14:00, пт 9:00–18:00, перерыв 13:00–14:00, сб 9:00–17:00, перерыв 13:00–14:00"
"1282880005";"";"";"Корпоративный Сервис";"Россия";"Алтайский край";"Алейск";"";"ул. имени В. Олешко, 40Е, Алейск, Россия";"Автомобили";"Запчасти, аксессуары";"Автомобильные отопители";"";"";"";"";"ks-gps@mail.ru";"http://ks-gps.ru/";"https://vk.com/ksgps";"";"https://www.facebook.com/ksgpsdir";"";"82.772791";"52.502759";"";"пн-пт 8:30–17:30"
"1282880005";"";"";"Корпоративный Сервис";"Россия";"Алтайский край";"Алейск";"";"ул. имени В. Олешко, 40Е, Алейск, Россия";"Автомобили";"Запчасти, аксессуары";"Автомобильные тахографы";"";"";"";"";"ks-gps@mail.ru";"http://ks-gps.ru/";"https://vk.com/ksgps";"";"https://www.facebook.com/ksgpsdir";"";"82.772791";"52.502759";"";"пн-пт 8:30–17:30"
"1282880005";"";"";"Корпоративный Сервис";"Россия";"Алтайский край";"Алейск";"";"ул. имени В. Олешко, 40Е, Алейск, Россия";"Прочее";"Прочее";"Ли";"";"";"";"";"ks-gps@mail.ru";"http://ks-gps.ru/";"https://vk.com/ksgps";"";"https://www.facebook.com/ksgpsdir";"";"82.772791";"52.502759";"";"пн-пт 8:30–17:30"
"1282880005";"";"";"Корпоративный Сервис";"Россия";"Алтайский край";"Алейск";"";"ул. имени В. Олешко, 40Е, Алейск, Россия";"Телекоммуникации и связь";"Мобильная связь";"Мониторинг автотранспорта";"";"";"";"";"ks-gps@mail.ru";"http://ks-gps.ru/";"https://vk.com/ksgps";"";"https://www.facebook.com/ksgpsdir";"";"82.772791";"52.502759";"";"пн-пт 8:30–17:30"
"1867218610";"";"";"Союз ломбардов";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 134, Алейск";"Автомобили";"Продажа";"Автоломбард";"";"8 (800) 100-05-09, 8 (800) 100-33-46";"+7 (929) 393-34-24";"";"info@lombardunion.ru";"http://www.lombard-union.ru/";"https://vk.com/lombard_union";"";"";"https://www.ok.ru/lombardunion";"82.77289";"52.497463";"";"пн-чт 9:00–17:30, перерыв 13:30–14:00, пт 9:00–16:30, перерыв 13:30–14:00"
"1867218610";"";"";"Союз ломбардов";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 134, Алейск";"Бизнес";"Финансы";"Ломбард";"";"8 (800) 100-05-09, 8 (800) 100-33-46";"+7 (929) 393-34-24";"";"info@lombardunion.ru";"http://www.lombard-union.ru/";"https://vk.com/lombard_union";"";"";"https://www.ok.ru/lombardunion";"82.77289";"52.497463";"";"пн-чт 9:00–17:30, перерыв 13:30–14:00, пт 9:00–16:30, перерыв 13:30–14:00"
"124834491920";"";"";"АГРО";"Россия";"Алтайский край";"Алейск";"";"Советская ул., 3В, Алейск, Россия";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.794479";"52.503126";"";""
"124834491920";"";"";"АГРО";"Россия";"Алтайский край";"Алейск";"";"Советская ул., 3В, Алейск, Россия";"Производство и поставки";"Машиностроение";"Сельскохозяйственная техника";"";"";"";"";"";"";"";"";"";"";"82.794479";"52.503126";"";""
"124834491920";"";"";"АГРО";"Россия";"Алтайский край";"Алейск";"";"Советская ул., 3В, Алейск, Россия";"Производство и поставки";"Машиностроение";"Сельскохозяйственная техника";"";"";"";"";"";"";"";"";"";"";"82.794479";"52.503126";"";""
"116812632103";"";"";"Автозапчасти";"Россия";"Алтайский край";"Алейск";"658130";"Комсомольская ул., 116, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.774661";"52.496642";"";""
"141228444340";"";"";"Emex";"Россия";"Алтайский край";"Алейск";"658130";"Первомайская ул., 70, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"+7 (38553) 2-49-50";"+7 (913) 244-31-80";"";"msk@emex.ru,  co@emex.ru,  sp@emex.ru,  cv@emex.ru,  tk@emex.ru";"https://www.emex.ru/";"";"";"";"";"82.782843";"52.494974";"";"пн-пт 8:00–18:00, сб 9:00–13:00"
"20524930250";"";"";"Автозапчасти";"Россия";"Алтайский край";"Алейск";"";"Первомайская ул., 105, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.770294";"52.486454";"";""
"179729684999";"";"";"ГОСТдеталь";"Россия";"Алтайский край";"Алейск";"";"Ульяновский пер., 1А, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"http://www.gostdetal.ru/";"";"";"";"";"82.7691";"52.485845";"";""
"49610878689";"";"";"АvтоПост";"Россия";"Алтайский край";"Алейск";"";"Рабочий пер., 4, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.772917";"52.489968";"";""
"165075450428";"";"";"Гараж";"Россия";"Алтайский край";"Алейск";"";"Пионерская ул., 125А, Алейск, Россия";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.772793";"52.496674";"";""
"208701363225";"";"";"Магазин автозапчастей";"Россия";"Алтайский край";"Алейск";"";"Первомайская ул., 108, Алейск, Россия";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.774713";"52.489903";"";"ежедневно, 9:00–19:00"
"173950323029";"";"";"Перекрёсток";"Россия";"Алтайский край";"Алейск";"658135";"Ульяновский пер., 1Б, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.768845";"52.486238";"";""
"150427615352";"";"";"Автозапчасти";"Россия";"Алтайский край";"Алейск";"";"Пионерская ул., 125, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.77225";"52.49634";"";""
"58293996813";"";"";"Техно микс";"Россия";"Алтайский край";"Алейск";"";"Комсомольская ул., 101, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.77397";"52.495641";"";""
"92010863445";"";"";"Автозапчасти";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 120, Алейск";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.774864";"52.498417";"";""
"243222702805";"";"";"Сельзоззапчасти";"Россия";"Алтайский край";"Алейск";"";"Советская ул., 3В, Алейск, Россия";"Автомобили";"Продажа";"Магазин автозапчастей и автотоваров";"";"";"";"";"";"";"";"";"";"";"82.794336";"52.50307";"";""
"168575065607";"";"";"ЧОП Витязь";"Россия";"Алтайский край";"Алейск";"658130";"Парковый пер., 26, Алейск";"Безопасность";"Безопасность бизнеса";"Охранное предприятие";"";"+7 (38553) 2-00-08, +7 (38553) 2-07-00";"";"";"";"";"";"";"";"";"82.779565";"52.497058";"";"ежедневно, круглосуточно"
"1018410974";"";"";"ФГУП Охрана МВД РФ по Алтайскому краю";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 100А, Алейск";"Безопасность";"Безопасность бизнеса";"Охранное предприятие";"";"+7 (38553) 2-10-91";"";"";"";"";"";"";"";"";"82.778074";"52.494607";"";"пн-пт 9:00–17:00"
"1018410974";"";"";"ФГУП Охрана МВД РФ по Алтайскому краю";"Россия";"Алтайский край";"Алейск";"658130";"Советская ул., 100А, Алейск";"Безопасность";"Материалы, оборудование";"Системы безопасности и охраны";"";"+7 (38553) 2-10-91";"";"";"";"";"";"";"";"";"82.778074";"52.494607";"";"пн-пт 9:00–17:00"
"1796364223";"";"";"Алтай Пож Сервис";"Россия";"Алтайский край";"Алейск";"";"ул. Сердюка, 156, Алейск";"Безопасность";"Материалы, оборудование";"Системы безопасности и охраны";"";"";"+7 (929) 392-22-11";"";"20aps22@yandex.ru";"http://aps22.ru/";"https://vk.com/aps22ru";"";"";"https://www.ok.ru/aps22";"82.761589";"52.487768";"";"пн-пт 9:00–17:00"
"1796364223";"";"";"Алтай Пож Сервис";"Россия";"Алтайский край";"Алейск";"";"ул. Сердюка, 156, Алейск";"Строительство и недвижимость";"Инженерные системы";"Установка кондиционеров";"";"";"+7 (929) 392-22-11";"";"20aps22@yandex.ru";"http://aps22.ru/";"https://vk.com/aps22ru";"";"";"https://www.ok.ru/aps22";"82.761589";"52.487768";"";"пн-пт 9:00–17:00"
"1796364223";"";"";"Алтай Пож Сервис";"Россия";"Алтайский край";"Алейск";"";"ул. Сердюка, 156, Алейск";"Строительство и недвижимость";"Стройматериалы";"Натяжные и подвесные потолки";"";"";"+7 (929) 392-22-11";"";"20aps22@yandex.ru";"http://aps22.ru/";"https://vk.com/aps22ru";"";"";"https://www.ok.ru/aps22";"82.761589";"52.487768";"";"пн-пт 9:00–17:00"
"76210491321";"";"";"Ваш бухгалтер";"Россия";"Алтайский край";"Алейск";"";"Парковый пер., 53, Алейск";"Бизнес";"Аудит, бухучет";"Бухгалтерские услуги";"";"";"+7 (903) 991-22-99";"";"";"";"";"";"";"";"82.770869";"52.501438";"";"пн-пт 9:00–17:00, перерыв 13:00–14:00"
"76210491321";"";"";"Ваш бухгалтер";"Россия";"Алтайский край";"Алейск";"";"Парковый пер., 53, Алейск";"Бизнес";"Юридические услуги";"Регистрация и ликвидация предприятий";"";"";"+7 (903) 991-22-99";"";"";"";"";"";"";"";"82.770869";"52.501438";"";"пн-пт 9:00–17:00, перерыв 13:00–14:00"
"76210491321";"";"";"Ваш бухгалтер";"Россия";"Алтайский край";"Алейск";"";"Парковый пер., 53, Алейск";"Компьютеры и интернет";"Программное обеспечение";"Программное обеспечение";"";"";"+7 (903) 991-22-99";"";"";"";"";"";"";"";"82.770869";"52.501438";"";"пн-пт 9:00–17:00, перерыв 13:00–14:00"
"76210491321";"";"";"Ваш бухгалтер";"Россия";"Алтайский край";"Алейск";"";"Парковый пер., 53, Алейск";"Прочее";"Прочее";"Ли";"";"";"+7 (903) 991-22-99";"";"";"";"";"";"";"";"82.770869";"52.501438";"";"пн-пт 9:00–17:00, перерыв 13:00–14:00"
"76823772016";"";"";"Почта банк";"Россия";"Алтайский край";"Алейск";"658130";"Пионерская ул., 119, Алейск";"Бизнес";"Банки  и банкоматы";"Банк";"";"8 (800) 550-07-70";"";"";"pr@pochtabank.ru";"https://www.pochtabank.ru/";"https://vk.com/pochtabank";"";"https://www.facebook.com/pochtabank";"";"82.775379";"52.498116";"";"пн 9:00–13:00, вт 14:00–18:00, ср 9:00–20:00, чт,пт 8:00–20:00, сб 9:00–13:00"
